mmsi,lat,lon
27,30.337998,121.791962
27,30.33769,121.79163
27,30.337415,121.791372
27,30.337112,121.791035
27,30.336802,121.790707
27,30.336475,121.790397
28,30.372167,121.7965
28,30.373,121.797333
28,30.373833,121.7985
28,30.374333,121.799
28,30.374333,121.799
28,30.375833,121.800833
29,30.338183,121.7896
29,30.337733,121.789167
29,30.3375,121.78895
29,30.3366,121.788083
29,30.3375,121.78895
29,30.3402,121.79155
30,30.380495,121.842985
30,30.381138,121.844463
30,30.381788,121.845948
30,30.382235,121.84693
30,30.38245,121.847427
30,30.382662,121.847922
31,30.37285,121.85235
31,30.373233,121.8526
31,30.375033,121.853833
31,30.375633,121.854267
31,30.376,121.854533
31,30.377217,121.8553
32,30.3645,121.79303
32,30.3645,121.79303
32,30.364203,121.792602
32,30.363915,121.792175
32,30.363342,121.791332
32,30.362458,121.790083
33,30.405257,121.819852
33,30.406952,121.8215
33,30.406952,121.8215
33,30.408627,121.823157
33,30.409898,121.824422
33,30.410633,121.825153
34,30.402847,121.811103
34,30.403175,121.811512
34,30.403533,121.811953
34,30.402528,121.810697
34,30.40418,121.812748
34,30.399307,121.806617
35,30.339287,121.801758
35,30.338957,121.801328
35,30.338293,121.800462
35,30.33796,121.800037
35,30.337632,121.799603
35,30.336967,121.798742
36,30.377967,121.747133
36,30.37765,121.746633
36,30.3771,121.745867
36,30.375783,121.744132
36,30.375483,121.7437
36,30.3748,121.7428
37,30.367192,121.681708
37,30.365402,121.678825
37,30.365115,121.678337
37,30.364832,121.677852
37,30.365402,121.678825
37,30.363943,121.676395
38,30.37432,121.744585
38,30.3755,121.745428
38,30.376792,121.746368
38,30.37846,121.747523
38,30.378895,121.7478
38,30.379388,121.748085
39,30.419995,121.826557
39,30.419995,121.826557
39,30.420233,121.8271
39,30.420793,121.828445
39,30.42123,121.829495
39,30.421425,121.829975
40,30.380117,121.761183
40,30.381017,121.761683
40,30.381467,121.761933
40,30.381967,121.762217
40,30.383317,121.762967
40,30.385383,121.764067
41,30.398808,121.801478
41,30.39945,121.801883
41,30.400392,121.802512
41,30.401488,121.80327
41,30.402535,121.803995
41,30.403113,121.804388
42,30.401408,121.80993
42,30.40063,121.810658
42,30.39983,121.811418
42,30.399018,121.81222
42,30.397068,121.81403
42,30.396695,121.814388
43,30.338398,121.810655
43,30.337735,121.80993
43,30.337403,121.809573
43,30.33708,121.80921
43,30.336753,121.808827
43,30.336412,121.808475
44,30.373705,121.84661
44,30.373975,121.84692
44,30.374548,121.847598
44,30.378267,121.85204
44,30.378267,121.85204
44,30.37927,121.853252
45,30.429028,121.800103
45,30.428807,121.8006
45,30.428538,121.801208
45,30.428307,121.801705
45,30.428052,121.802265
45,30.427558,121.803398
46,30.388887,121.876167
46,30.389977,121.877315
46,30.391078,121.87847
46,30.39132,121.878722
46,30.391682,121.879108
46,30.392163,121.879643
47,30.364813,121.84604
47,30.365428,121.846887
47,30.366042,121.84773
47,30.366362,121.848147
47,30.366673,121.848568
47,30.367295,121.849418
48,30.41484,121.864995
48,30.414545,121.866065
48,30.414368,121.866755
48,30.414052,121.867973
48,30.413862,121.868608
48,30.413587,121.869703
49,30.429357,121.767962
49,30.429357,121.767962
49,30.427555,121.767497
49,30.425852,121.767077
49,30.425677,121.767017
49,30.424685,121.766752
50,30.3694,121.8025
50,30.368883,121.80265
50,30.3679,121.802883
50,30.367383,121.803017
50,30.366367,121.80325
50,30.365717,121.803333
51,30.362108,121.834847
51,30.362108,121.834847
51,30.361305,121.83378
51,30.35984,121.831798
51,30.359055,121.83072
51,30.357983,121.829308
52,30.420933,121.866917
52,30.422,121.868967
52,30.42295,121.87115
52,30.423467,121.8724
52,30.423817,121.873217
52,30.424167,121.87405
53,30.405417,121.874567
53,30.404117,121.8771
53,30.40385,121.877617
53,30.403317,121.878667
53,30.403067,121.879117
53,30.40255,121.88015
54,30.456212,121.815507
54,30.456212,121.81548
54,30.456212,121.815412
54,30.456212,121.815347
54,30.456197,121.815267
54,30.456767,121.814092
55,30.351598,121.726558
55,30.350892,121.72596
55,30.349965,121.725037
55,30.349685,121.724747
55,30.348758,121.723845
55,30.348395,121.723572
56,30.367147,121.7852
56,30.365997,121.783973
56,30.365625,121.783573
56,30.364505,121.782455
56,30.364505,121.782455
56,30.364082,121.78203
57,30.383183,121.838017
57,30.382967,121.837533
57,30.38205,121.835683
57,30.3818,121.8352
57,30.381567,121.834733
57,30.38135,121.834267
58,30.38745,121.811533
58,30.3859,121.810783
58,30.3854,121.8105
58,30.384933,121.810217
58,30.383533,121.8093
58,30.383083,121.809
59,30.418688,121.869697
59,30.419677,121.871615
59,30.419928,121.872065
59,30.420157,121.872467
59,30.42043,121.872963
59,30.420688,121.87341
60,30.344983,121.67655
60,30.34465,121.67615
60,30.3443,121.675767
60,30.343567,121.675017
60,30.342833,121.674283
60,30.34245,121.673917
61,30.445423,121.870435
61,30.445135,121.869862
61,30.447085,121.873902
61,30.447395,121.87446
61,30.447687,121.875028
61,30.448282,121.87616
62,30.487083,121.757077
62,30.488225,121.756662
62,30.4894,121.756302
62,30.490478,121.755932
62,30.491563,121.75547
62,30.493693,121.754587
63,30.38815,121.840987
63,30.38782,121.840578
63,30.387188,121.839722
63,30.385898,121.838033
63,30.385898,121.838033
63,30.385285,121.83715
64,30.371383,121.7724
64,30.370533,121.7715
64,30.368883,121.769633
64,30.368083,121.7687
64,30.368083,121.7687
64,30.3672,121.767733
65,30.413,121.868783
65,30.414233,121.870183
65,30.4146,121.87065
65,30.415233,121.8714
65,30.416233,121.87245
65,30.417433,121.873883
66,30.39693,121.769595
66,30.396307,121.769502
66,30.394563,121.76923
66,30.392885,121.768945
66,30.391875,121.768788
66,30.391248,121.76868
67,30.341397,121.772088
67,30.341017,121.77162
67,30.340128,121.770523
67,30.339668,121.769952
67,30.339252,121.769423
67,30.338003,121.767838
68,30.338748,121.770667
68,30.338583,121.770412
68,30.338247,121.7699
68,30.337993,121.769513
68,30.337215,121.768348
68,30.336947,121.767947
69,30.359957,121.687278
69,30.35905,121.68601
69,30.358792,121.68562
69,30.358187,121.684792
69,30.35785,121.684338
69,30.35785,121.684338
70,30.363915,121.80539
70,30.3636,121.804977
70,30.362982,121.804143
70,30.362375,121.803297
70,30.36207,121.80288
70,30.36207,121.80288
71,30.352563,121.771433
71,30.352257,121.77105
71,30.351627,121.770302
71,30.351023,121.769527
71,30.35038,121.768785
71,30.350052,121.76842
72,30.367383,121.765267
72,30.366667,121.764433
72,30.366,121.763633
72,30.3656,121.763183
72,30.36525,121.762767
72,30.364483,121.761917
73,30.367913,121.839015
73,30.367567,121.838545
73,30.369837,121.84144
73,30.37017,121.841842
73,30.365102,121.83521
73,30.369503,121.841043
74,30.365643,121.7996
74,30.365643,121.7996
74,30.365943,121.799992
74,30.367445,121.801952
74,30.367755,121.802337
74,30.36831,121.803085
75,30.503768,121.708127
75,30.505012,121.70774
75,30.506387,121.707377
75,30.507923,121.70686
75,30.51391,121.705583
75,30.515657,121.706028
76,30.484097,121.732352
76,30.485607,121.732602
76,30.488433,121.733108
