mmsi,lat,lon,Sog,Cog,timestamp
1,30.411077,121.835418,11.3,104,1537739831
1,30.409912,121.834347,11.3,135,1537739860
1,30.409468,121.833942,11.3,112,1537739871
1,30.409068,121.83357,11.3,110,1537739881
1,30.408667,121.833198,11.3,111,1537739891
1,30.407865,121.832457,11.3,95,1537739911
1,30.406667,121.831343,11.3,108,1537739941
1,30.406667,121.831343,11.3,104,1537739946
1,30.405903,121.83064,11.3,117,1537739960
1,30.405465,121.830233,11.3,104,1537739970
1,30.405105,121.829898,11.3,93,1537739980
1,30.404663,121.829492,11.3,98,1537739991
1,30.404265,121.829118,11.3,89,1537740001
1,30.404265,121.829118,11.3,101,1537740006
1,30.403867,121.828745,11.3,0,1537740011
1,30.402268,121.82726,11.3,92,1537740051
1,30.401868,121.826887,11.3,63,1537740061
1,30.40067,121.82577,11.3,119,1537740091
1,30.399468,121.824662,11.3,100,1537740121
1,30.398712,121.82396,11.3,93,1537740140
1,30.398275,121.823553,11.3,86,1537740150
1,30.397842,121.823145,11.2,99,1537740161
1,30.397085,121.822438,11.3,134,1537740181
1,30.396283,121.821695,11.3,114,1537740201
1,30.395883,121.821323,11.3,104,1537740211
1,30.39544,121.820917,11.3,179,1537740222
1,30.394322,121.819877,11.3,96,1537740250
1,30.39388,121.819472,11.3,92,1537740261
1,30.393482,121.8191,11.3,106,1537740271
1,30.393043,121.818693,11.3,112,1537740282
1,30.392283,121.817992,11.3,108,1537740301
1,30.392283,121.817992,11.3,110,1537740306
1,30.391883,121.817622,11.3,101,1537740311
1,30.391485,121.81725,11.3,95,1537740321
1,30.390648,121.81647,11.3,97,1537740341
1,30.38989,121.815763,11.3,103,1537740361
1,30.38989,121.815763,11.3,101,1537740366
1,30.38949,121.815393,11.3,91,1537740371
1,30.388688,121.814648,11.3,93,1537740391
1,30.388248,121.814238,11.3,87,1537740402
1,30.387488,121.81353,11.3,81,1537740421
1,30.387088,121.813162,11.3,116,1537740431
1,30.386335,121.812453,11.3,20,1537740450
1,30.3855,121.811675,11.3,39,1537740471
1,30.3851,121.811307,11.3,103,1537740481
1,30.384702,121.810938,11.3,88,1537740491
1,30.384302,121.81057,11.3,76,1537740501
1,30.383462,121.809797,11.3,77,1537740521
1,30.382703,121.809088,11.3,91,1537740541
1,30.382303,121.808718,11.3,86,1537740551
1,30.381905,121.808345,11.3,86,1537740561
1,30.380712,121.807232,11.2,90,1537740591
1,30.379472,121.806175,11.3,66,1537740621
1,30.379472,121.806175,11.3,74,1537740626
1,30.378632,121.805488,11.3,92,1537740641
1,30.37779,121.804805,11.3,64,1537740661
1,30.377365,121.804467,11.3,93,1537740671
1,30.37526,121.802763,11.3,80,1537740721
1,30.374417,121.802083,11.3,52,1537740741
1,30.373572,121.801407,11.3,44,1537740761
1,30.372727,121.80073,11.3,322,1537740781
1,30.37188,121.800057,11.3,233,1537740801
1,30.371042,121.799375,11.2,220,1537740821
1,30.370198,121.798705,11.2,215,1537740841
1,30.369353,121.79803,11.2,265,1537740861
1,30.369353,121.79803,11.2,135,1537740866
1,30.368135,121.797065,11.2,86,1537740885
1,30.366468,121.795708,11.1,78,1537740925
1,30.366468,121.795708,11.1,70,1537740935
1,30.366007,121.795338,11.1,83,1537740936
1,30.364793,121.794377,11.1,85,1537740965
1,30.364337,121.794008,11.1,79,1537740976
1,30.363512,121.793335,11.1,74,1537740997
1,30.362722,121.792702,11.1,95,1537741015
1,30.361887,121.792048,11.1,82,1537741035
1,30.361463,121.791728,11.1,103,1537741045
1,30.361002,121.791372,11,5,1537741056
1,30.359378,121.79009,11.1,276,1537741095
1,30.358498,121.789407,11,267,1537741117
1,30.357293,121.788458,11,264,1537741145
1,30.356877,121.788132,11,257,1537741155
1,30.356462,121.787805,11,315,1537741165
1,30.354795,121.786493,11,112,1537741205
1,30.354795,121.786493,11,286,1537741215
1,30.353987,121.785808,11,293,1537741225
1,30.353173,121.785055,10.9,270,1537741246
1,30.352443,121.784365,10.9,258,1537741265
1,30.352443,121.784365,10.9,265,1537741275
1,30.351945,121.783823,10.9,267,1537741279
1,30.351027,121.782743,10.8,287,1537741306
1,30.35042,121.781947,10.8,278,1537741325
1,30.35008,121.781475,10.8,240,1537741336
1,30.34947,121.780602,10.8,281,1537741356
1,30.349163,121.780162,10.9,273,1537741366
1,30.34826,121.778828,10.9,268,1537741396
1,30.347982,121.77837,10.9,257,1537741406
1,30.347705,121.77791,10.9,276,1537741416
1,30.347197,121.777027,10.8,253,1537741435
1,30.346632,121.77605,10.9,262,1537741456
1,30.346355,121.775588,10.9,77,1537741466
1,30.346083,121.775122,10.9,256,1537741476
1,30.345823,121.774647,10.9,109,1537741486
1,30.345597,121.774217,10.9,96,1537741505
1,30.345072,121.773208,10.9,103,1537741516
1,30.344827,121.772725,10.9,95,1537741526
1,30.344585,121.772238,10.9,109,1537741536
1,30.344123,121.771313,10.9,86,1537741555
1,30.34388,121.770827,10.9,297,1537741565
1,30.343613,121.770292,10.9,259,1537741576
1,30.343368,121.769808,10.9,259,1537741586
1,30.343125,121.769323,10.9,254,1537741596
1,30.34266,121.768405,10.9,258,1537741615
1,30.341658,121.766412,10.9,253,1537741656
1,30.340267,121.764113,10.9,266,1537741706
1,30.33727,121.765407,11.8,275,1538874684
1,30.338117,121.766067,11.8,13,1538874703
1,30.339475,121.76717,11.7,231,1538874734
1,30.339915,121.767528,11.7,98,1538874744
1,30.340775,121.768207,11.7,102,1538874763
1,30.341235,121.768563,11.8,83,1538874773
1,30.341678,121.768927,11.8,98,1538874783
1,30.342185,121.76931,11.8,95,1538874794
1,30.342633,121.769662,11.8,81,1538874804
1,30.34345,121.770323,11.7,87,1538874823
1,30.344315,121.771023,11.7,79,1538874843
1,30.346477,121.772725,11.5,91,1538874893
1,30.34738,121.773433,11.4,69,1538874914
1,30.34738,121.773433,11.4,99,1538874916
1,30.347807,121.773783,11.4,88,1538874924
1,30.348612,121.774425,11.3,90,1538874943
1,30.349458,121.775113,11.3,88,1538874963
1,30.35028,121.77574,11.2,52,1538874982
1,30.350738,121.776118,11.2,217,1538874992
1,30.351553,121.776788,11.2,95,1538875013
1,30.352358,121.777418,11.2,94,1538875032
1,30.352782,121.777757,11.3,82,1538875042
1,30.353247,121.778132,11.3,91,1538875053
1,30.354052,121.778782,11.3,91,1538875072
1,30.354473,121.779127,11.3,56,1538875082
1,30.354895,121.779475,11.3,58,1538875092
1,30.355333,121.77981,11.4,87,1538875102
1,30.355807,121.780188,11.4,209,1538875113
1,30.35662,121.780853,11.5,269,1538875132
1,30.357052,121.781207,11.5,255,1538875142
1,30.35838,121.782248,11.4,285,1538875173
1,30.358805,121.782595,11.4,264,1538875183
1,30.359617,121.783255,11.5,266,1538875202
1,30.359617,121.783255,11.5,270,1538875204
1,30.360043,121.78361,11.5,179,1538875212
1,30.360468,121.783952,11.4,243,1538875222
1,30.361743,121.784955,11.3,254,1538875252
1,30.361743,121.784955,11.3,272,1538875254
1,30.362665,121.7857,11.2,269,1538875269
1,30.363467,121.786343,11.2,255,1538875289
1,30.364275,121.786983,11.2,273,1538875309
1,30.365188,121.787727,11.1,256,1538875330
1,30.365992,121.788355,11.1,271,1538875349
1,30.36721,121.789328,11.2,259,1538875378
1,30.367702,121.789765,11.3,293,1538875390
1,30.369222,121.79119,11.3,261,1538875428
1,30.36969,121.791655,11.3,276,1538875440
